Grupo;Verba
VENCIMENTO-FERIAS;1001
VENCIMENTO-FERIAS;1052
CHEFIA-FERIAS;1104
CHEFIA-FERIAS;1053
SUBST-CHEFIA-FERIAS;1103
SUBST-CHEFIA-FERIAS;1054
CPL-FERIAS;1111
CPL-FERIAS;1058
INSALUBRIDADE;1116
INSALUBRIDADE;1059
RESP-TECNICO;1118
RESP-TECNICO;1060
AUX-CRECHE;1108
AUX-CRECHE;1119
ANUENIO;1115
ANUENIO;1125
AD-TEMP-SERV;1105
AD-TEMP-SERV;1135
AUX-DOENCA;1017
AUX-DOENCA;1517
LIQUIDO;4003
LIQUIDO;4023
BHPREV;2191
BHPREV;2939
BHPREV;2940
BHPREV;2941
BHPREV;2943
BHPREV;2945
BHPREV;2946
BHPREV;2947
FUFIN;2147
FUFIN;2639
FUFIN;2640
FUFIN;2641
FUFIN;2643
FUFIN;2644
FUFIN;2645
FUFIN;2647
FUFIN;2944
FUFIN;2986
INSS;2011
INSS;2015
INSS;2021
INSS;2023
INSS;2026
INSS;2027
INSS;2040
INSS;2136
INSS;2137
INSS;2138
IRPF;2018
IRPF;2024
